BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201710,27,200,201710,27,800,120997,724249,IOWA,19,2017,October,Frost/Freeze,Z,26,FRANKLIN,DMX,27-OCT-17 02:00:00,CST-6,27-OCT-17 08:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,"The first cold air of the season pushed into the state and reached 32 degrees or less across western, northern, and parts of central Iowa.",,CSV
201710,27,200,201710,27,800,120997,724250,IOWA,19,2017,October,Frost/Freeze,Z,25,WRIGHT,DMX,27-OCT-17 02:00:00,CST-6,27-OCT-17 08:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,"The first cold air of the season pushed into the state and reached 32 degrees or less across western, northern, and parts of central Iowa.",,CSV
201710,27,500,201710,27,900,120997,724263,IOWA,19,2017,October,Frost/Freeze,Z,70,CASS,DMX,27-OCT-17 05:00:00,CST-6,27-OCT-17 09:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,"The first cold air of the season pushed into the state and reached 32 degrees or less across western, northern, and parts of central Iowa.",,CSV
201710,27,500,201710,27,900,120997,724264,IOWA,19,2017,October,Frost/Freeze,Z,82,UNION,DMX,27-OCT-17 05:00:00,CST-6,27-OCT-17 09:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,"The first cold air of the season pushed into the state and reached 32 degrees or less across western, northern, and parts of central Iowa.",,CSV
201710,27,500,201710,27,900,120997,724265,IOWA,19,2017,October,Frost/Freeze,Z,81,ADAMS,DMX,27-OCT-17 05:00:00,CST-6,27-OCT-17 09:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,"The first cold air of the season pushed into the state and reached 32 degrees or less across western, northern, and parts of central Iowa.",,CSV
201710,27,500,201710,27,900,120997,724266,IOWA,19,2017,October,Frost/Freeze,Z,93,RINGGOLD,DMX,27-OCT-17 05:00:00,CST-6,27-OCT-17 09:00:00,0,0,0,0,0.00K,0.00K,ASOS,,,,,,,,,,,,,,,,,,,,,,"The first cold air of the season pushed into the state and reached 32 degrees or less across western, northern, and parts of central Iowa.",,CSV
201707,22,636,201707,22,1235,118841,713963,IOWA,19,2017,July,Flash Flood,C,17,BREMER,DMX,22-JUL-17 06:36:00,CST-6,22-JUL-17 12:35:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,4,NE,BREMER,4,W,TRIPOLI,42.8091,-92.3431,42.8088,-92.3298,"A weak semi-stationary boundary remained draped across Iowa in the overnight hours of the 20th into the 21st, which acted as a focus for initial storm development.  Storms early in the evening moved off to the southeast and was relatively quiet until the low level jet kicked in.  The overall convective environment was modest with MUCAPE values around 1000-2000 J/kg and unsupportive effective shear and best supported widespread back building convection.  While there were not many heavy rainfall reports, a report of 3.50 inches was made on the morning of the 21st.  Radar estimates put many areas in excess of 5 inches, causing local river and flash flooding.  Through the day and next evening, scattered storms and low level jet induced convection added another local 1 to 2 inches and exacerbated some localized flash flooding issues.","Law enforcement reported water over portions of Highway 63 west of Tripoli.  Depth was unknown, but noted water covering several locations of the highway.",CSV
201707,21,1810,201707,21,1810,118473,711861,MINNESOTA,27,2017,July,Thunderstorm Wind,C,21,CASS,DLH,21-JUL-17 18:10:00,CST-6,21-JUL-17 18:10:00,0,0,0,0,,,Law Enforcement,52.00,EG,,,,,,,,,,2,SSW,LAKE SHR,2,SSW,LAKE SHR,46.49,-94.36,46.49,-94.36,"Two storm systems, one to the north and the other to south, moved across most of northeastern Minnesota. The northern storm caused hail and sporadic wind damage until it moved to the north and northeast of Duluth where it blew down numerous trees in the Fredenberg and Island Lake areas. The southern storm system evolved into a bow echo that produced damaging winds.",Power lines were blown down across Abby Way near the intersection with Interlachen Road.,CSV
201707,21,1810,201707,21,1810,118473,711862,MINNESOTA,27,2017,July,Thunderstorm Wind,C,137,ST. LOUIS,DLH,21-JUL-17 18:10:00,CST-6,21-JUL-17 18:10:00,0,0,0,0,,,Broadcast Media,56.00,EG,,,,,,,,,,5,SW,ISLAND LAKE,5,SW,ISLAND LAKE,46.97,-92.22,46.97,-92.22,"Two storm systems, one to the north and the other to south, moved across most of northeastern Minnesota. The northern storm caused hail and sporadic wind damage until it moved to the north and northeast of Duluth where it blew down numerous trees in the Fredenberg and Island Lake areas. The southern storm system evolved into a bow echo that produced damaging winds.",Several large trees were blown down and a few trees were uprooted. Some of the trees fell on a home.,CSV
201707,21,1824,201707,21,1824,118473,711863,MINNESOTA,27,2017,July,Thunderstorm Wind,C,137,ST. LOUIS,DLH,21-JUL-17 18:24:00,CST-6,21-JUL-17 18:24:00,0,0,0,0,,,Amateur Radio,56.00,EG,,,,,,,,,,4,ENE,BARTLETT,4,ENE,BARTLETT,46.94,-92.26,46.94,-92.26,"Two storm systems, one to the north and the other to south, moved across most of northeastern Minnesota. The northern storm caused hail and sporadic wind damage until it moved to the north and northeast of Duluth where it blew down numerous trees in the Fredenberg and Island Lake areas. The southern storm system evolved into a bow echo that produced damaging winds.",A home was damaged when a 16 inch diameter tree was blown over by thunderstorm winds. A 20 inch diameter tree was snapped at the base of its trunk by the winds.,CSV
